week,order_id,customer_name,market_segment,priority,quantity,allocated_qty,status
2026-W19,ORD-A3314A,Best Buy,Gaming Retail,9,19,0,Unfulfilled
2026-W19,ORD-F995B2,Best Buy,Gaming Retail,9,27,0,Unfulfilled
2026-W20,ORD-C2B45F,Meta,Data Center,1,75,75,Full
2026-W20,ORD-EEACAE,Meta,Data Center,1,15,15,Full
2026-W20,ORD-907D69,Microsoft,Data Center,1,42,42,Full
2026-W20,ORD-0BE39D,Tesla,Automotive,2,43,43,Full
2026-W20,ORD-150391,Foxconn,Industrial,4,60,60,Full
2026-W20,ORD-638971,ASUS,Gaming OEM,7,13,13,Full
2026-W21,ORD-7563C3,Microsoft,Data Center,1,74,74,Full
2026-W21,ORD-046939,Tesla,Automotive,2,29,29,Full
2026-W21,ORD-573B6E,Tesla,Automotive,2,20,20,Full
2026-W21,ORD-6CC8D8,Tesla,Automotive,2,59,59,Full
2026-W21,ORD-FD4DCB,Tesla,Automotive,2,47,47,Full
2026-W21,ORD-B4ECD8,Foxconn,Industrial,4,19,19,Full
2026-W21,ORD-6D9C33,ASUS,Gaming OEM,7,54,54,Full
2026-W22,ORD-231B12,Meta,Data Center,1,60,60,Full
2026-W22,ORD-71BCE7,Microsoft,Data Center,1,10,10,Full
2026-W22,ORD-EB1A3C,Microsoft,Data Center,1,26,26,Full
2026-W22,ORD-3FDAE0,Tesla,Automotive,2,51,51,Full
2026-W22,ORD-D7B2B2,Foxconn,Industrial,4,48,48,Full
2026-W22,ORD-1B5D91,Dell,Pro Viz,5,14,14,Full
2026-W22,ORD-52BE25,Best Buy,Gaming Retail,9,20,0,Unfulfilled
2026-W23,ORD-5A1955,Microsoft,Data Center,1,24,24,Full
2026-W23,ORD-56415D,Tesla,Automotive,2,14,14,Full
2026-W23,ORD-12E3B7,Siemens,Healthcare,3,47,47,Full
2026-W23,ORD-FC4973,Dell,Pro Viz,5,29,29,Full
2026-W23,ORD-025BB2,Best Buy,Gaming Retail,9,77,0,Unfulfilled
2026-W23,ORD-B115E8,Best Buy,Gaming Retail,9,38,0,Unfulfilled
2026-W24,ORD-6CF386,Microsoft,Data Center,1,69,69,Full
2026-W24,ORD-0EBEEB,Tesla,Automotive,2,64,64,Full
2026-W24,ORD-6A0CB9,Tesla,Automotive,2,81,81,Full
2026-W24,ORD-C7456A,Tesla,Automotive,2,56,56,Full
2026-W24,ORD-3BF510,Siemens,Healthcare,3,30,30,Full
2026-W24,ORD-7804C7,Siemens,Healthcare,3,83,83,Full
2026-W24,ORD-B4A324,Foxconn,Industrial,4,38,38,Full
2026-W25,ORD-097E3B,Microsoft,Data Center,1,52,52,Full
2026-W25,ORD-93BA2A,Tesla,Automotive,2,65,65,Full
2026-W25,ORD-4F693A,Siemens,Healthcare,3,47,47,Full
2026-W25,ORD-B7F976,Foxconn,Industrial,4,58,58,Full
2026-W25,ORD-9194AF,ASUS,Gaming OEM,7,31,31,Full
2026-W25,ORD-132213,Best Buy,Gaming Retail,9,58,0,Unfulfilled
2026-W25,ORD-F7AA38,Best Buy,Gaming Retail,9,61,0,Unfulfilled
2026-W26,ORD-6065C7,Meta,Data Center,1,68,68,Full
2026-W26,ORD-E7B1FA,Microsoft,Data Center,1,41,41,Full
2026-W26,ORD-75C039,Dell,Pro Viz,5,19,19,Full
2026-W26,ORD-D6A293,Dell,Pro Viz,5,60,60,Full
2026-W26,ORD-E1FA62,Dell,Pro Viz,5,56,56,Full
2026-W26,ORD-86B7E7,ASUS,Gaming OEM,7,72,72,Full
2026-W27,ORD-3F2D5D,Meta,Data Center,1,18,18,Full
2026-W27,ORD-3C129F,Siemens,Healthcare,3,11,11,Full
2026-W27,ORD-C8228D,Dell,Pro Viz,5,69,69,Full
2026-W27,ORD-4E96ED,ASUS,Gaming OEM,7,83,83,Full
2026-W27,ORD-65ED6C,ASUS,Gaming OEM,7,23,23,Full
2026-W27,ORD-AE947D,Best Buy,Gaming Retail,9,87,0,Unfulfilled
2026-W28,ORD-4C34B2,Meta,Data Center,1,62,62,Full
2026-W28,ORD-3AD37E,Microsoft,Data Center,1,36,36,Full
2026-W28,ORD-DD2D79,Microsoft,Data Center,1,50,50,Full
2026-W28,ORD-4485B7,Tesla,Automotive,2,55,55,Full
2026-W28,ORD-401B68,ASUS,Gaming OEM,7,46,13,Partial
2026-W28,ORD-00D97B,Best Buy,Gaming Retail,9,31,0,Unfulfilled
2026-W28,ORD-5BDE70,Best Buy,Gaming Retail,9,23,0,Unfulfilled
2026-W29,ORD-AEF933,Meta,Data Center,1,20,20,Full
2026-W29,ORD-4AC0AE,Tesla,Automotive,2,71,71,Full
2026-W29,ORD-B4F3E6,Tesla,Automotive,2,33,33,Full
2026-W29,ORD-16B38F,Foxconn,Industrial,4,82,82,Full
2026-W29,ORD-C0C0F1,Dell,Pro Viz,5,62,62,Full
2026-W29,ORD-16AB57,Best Buy,Gaming Retail,9,34,0,Unfulfilled
2026-W30,ORD-BDDC44,Meta,Data Center,1,35,35,Full
2026-W30,ORD-18C33A,Tesla,Automotive,2,48,48,Full
2026-W30,ORD-63EDD5,Siemens,Healthcare,3,89,89,Full
2026-W30,ORD-BC957C,Siemens,Healthcare,3,80,80,Full
2026-W30,ORD-075F2C,Best Buy,Gaming Retail,9,68,0,Unfulfilled
2026-W30,ORD-6417A5,Best Buy,Gaming Retail,9,71,0,Unfulfilled
2026-W31,ORD-625E84,Meta,Data Center,1,42,42,Full
2026-W31,ORD-D6CC07,Meta,Data Center,1,48,48,Full
2026-W31,ORD-62181E,Foxconn,Industrial,4,69,69,Full
